"dbID";"planeID";"ADSHEX";"longitude";"latitude";"altitude";"radarID";"aircraft";"departing";"destination";"dateTime"
189;"8e2fa8e";"";35.2037;-100.5685;40000.0;"T-MLAT2";"GLF4";"";"";"2016-02-22 14:21:24"
190;"8e1b74c";"740526";25.4711;55.0995;41000.0;"T-OMGH1";"A332";"AMM";"BKK";"2016-02-22 14:21:24"
191;"8e2f51c";"780E67";35.6661;112.818;38100.0;"F-ZBYN3";"A332";"PEK";"SYX";"2016-02-22 14:21:24"
192;"8e2f51a";"AB40F0";33.7273;-93.7176;37000.0;"F-KGVT1";"B738";"DFW";"PHL";"2016-02-22 14:21:24"
193;"8e2ddb9";"C04BF1";51.7542;-54.6828;39000.0;"T-CYQX1";"A333";"YUL";"CDG";"2016-02-22 14:21:24"
194;"8e22229";"A59601";48.9306;157.6124;39975.0;"T-EST1";"B788";"SFO";"KIX";"2016-02-22 14:21:24"
195;"8e2bfd9";"A0A54F";37.9406;-118.1519;38050.0;"T-MLAT2";"B763";"MSP";"SFO";"2016-02-22 14:21:24"
196;"8e2cf53";"4CA4B3";29.1061;-96.1059;40000.0;"F-KCLL1";"B738";"ORD";"MLM";"2016-02-22 14:21:24"
197;"8e296e6";"484411";54.5314;32.2619;40000.0;"F-UUWW5";"A332";"ALA";"AMS";"2016-02-22 14:21:24"
198;"8e2e1fd";"A45BFA";26.6715;-142.1137;41000.0;"T-F5M";"A332";"HNL";"SAN";"2016-02-22 14:21:24"
199;"8e1a008";"406B05";46.6918;11.5075;38000.0;"T-EDDM4";"B77W";"SIN";"LHR";"2016-02-22 14:21:24"
200;"8e2ddba";"AD4AFE";37.9564;-103.8211;38000.0;"T-MLAT2";"B738";"ORD";"PHX";"2016-02-22 14:21:24"
201;"8e281c8";"3C6566";45.8763;9.0091;38000.0;"F-LSGG1";"A333";"ABV";"FRA";"2016-02-22 14:21:24"
